ID,Holy,Dark,Rock,Wind,Fire,Water,Lightning,Ice,Wood,Ghost,Primal,Arcane
1,4,2,4,1,2,2,2,2,2,3,3,1
2,2,4,1,2,2,4,4,1,2,1,4,1
3,1,2,3,2,3,1,2,4,3,2,2,3
4,2,3,1,2,2,2,5,2,2,1,3,3
5,5,2,2,1,3,2,2,2,3,3,2,1
6,3,1,4,3,2,2,2,2,3,3,1,2
7,4,2,2,2,3,2,3,3,2,1,2,2
8,3,3,3,2,1,3,3,3,2,2,2,1
9,5,1,2,2,1,4,2,3,2,3,1,2
10,1,1,3,4,2,4,2,2,2,5,1,1
11,1,1,3,1,5,3,3,1,2,3,3,2
12,2,1,1,3,3,1,4,2,2,2,3,4
13,1,3,1,3,4,3,1,2,5,2,2,1
14,1,1,5,2,1,3,2,2,2,3,4,2
15,1,2,5,3,3,2,3,2,1,1,2,3
16,4,2,3,1,3,3,5,2,1,2,1,1
17,5,2,3,1,1,3,2,1,4,2,1,3
18,2,1,2,3,2,4,1,2,2,3,5,1
19,1,4,2,3,2,2,2,1,2,3,4,2
20,3,3,2,1,4,1,3,3,2,1,4,1
21,3,1,3,3,2,2,1,4,2,3,1,3
22,3,4,2,1,2,3,1,1,2,3,3,3
23,1,2,2,4,1,2,4,2,3,3,2,2
24,2,3,2,1,2,4,1,3,4,2,3,1
25,1,2,3,2,4,4,3,2,1,1,1,4
26,5,2,1,1,1,2,3,3,1,4,2,3
27,3,3,2,1,4,1,3,2,4,1,3,1
28,3,2,4,3,2,1,3,3,1,1,3,2
29,2,3,3,2,1,3,1,3,1,2,4,3
30,2,3,2,3,4,2,1,3,2,2,3,1
31,4,2,2,3,2,1,2,2,2,4,3,1
32,3,2,4,3,3,3,1,1,4,1,2,1
33,2,3,2,2,3,3,2,2,2,2,1,4
34,3,1,2,3,3,3,2,2,3,3,2,1
35,2,1,4,2,1,1,3,3,4,4,2,1
36,3,2,1,2,2,3,1,2,3,2,4,3
37,1,1,1,4,4,2,3,2,2,2,3,3
38,2,2,4,2,4,1,1,4,3,1,2,2
39,3,3,3,4,2,2,1,2,2,2,2,2
40,5,2,3,2,1,2,1,1,3,3,3,2
41,3,3,1,2,2,2,3,2,2,3,2,3
42,1,1,2,3,3,3,2,3,3,3,3,1
43,1,2,3,3,2,2,1,1,3,4,2,4
44,1,2,1,2,3,1,5,5,3,1,2,2
45,2,2,3,2,1,3,3,3,4,2,1,2
46,2,3,2,1,2,5,2,3,3,1,3,1
47,4,1,3,2,3,2,3,1,3,1,4,1
48,1,2,3,3,4,3,3,3,1,1,1,3
49,2,1,2,2,3,2,2,3,2,3,3,3
50,2,2,5,2,2,2,2,4,3,1,1,2
51,5,1,2,2,4,2,1,3,2,2,2,2
52,3,3,3,2,4,2,1,2,3,2,2,1
53,2,4,4,2,2,1,4,1,1,5,1,1
54,3,2,2,3,1,2,1,5,4,2,1,2
55,2,1,2,5,4,1,2,4,1,1,2,3
56,2,5,4,3,3,1,2,2,1,2,2,1
57,3,3,1,3,3,5,1,1,2,1,2,3
58,3,2,1,1,1,3,4,2,3,3,3,2
59,1,3,2,1,4,3,3,1,4,3,2,1
60,2,2,4,1,2,1,3,4,3,1,3,2
61,1,1,1,4,3,4,2,2,2,3,3,2
62,3,1,2,5,2,3,3,2,1,2,1,3
63,1,1,5,4,4,3,2,1,1,2,2,2
64,1,4,1,3,2,2,4,2,2,5,1,1
65,2,1,1,2,4,3,3,2,2,2,1,5
66,3,1,1,4,1,3,2,3,3,1,3,3
67,3,4,3,1,1,2,1,3,2,2,2,4
68,3,5,3,1,2,3,4,1,1,2,1,2
69,3,2,2,3,2,1,2,2,1,3,5,2
70,2,2,2,2,2,2,2,2,4,2,3,3
71,2,2,3,1,4,3,1,2,4,1,2,3
72,1,2,2,4,3,1,3,1,2,1,5,3
73,2,5,2,4,1,5,1,1,2,1,3,1
74,3,3,1,1,1,2,3,3,3,3,1,4
75,1,3,2,2,4,1,4,3,2,3,2,1
76,2,4,4,4,4,1,3,2,1,1,1,1
77,2,1,2,3,1,4,5,2,1,1,3,3
78,1,2,3,2,2,2,4,2,2,2,1,5
79,2,2,1,3,3,3,2,3,3,1,4,1
80,2,5,2,2,3,2,4,1,1,1,2,3
81,1,4,2,3,2,1,3,2,2,3,3,2
82,2,3,1,2,4,1,2,3,3,4,2,1
83,5,3,3,2,3,3,2,1,1,3,1,1
84,3,1,1,1,2,1,2,3,5,3,3,3
85,1,4,2,3,2,1,1,3,3,2,5,1
86,3,2,3,2,3,3,1,2,2,4,1,2
87,1,2,3,2,2,4,1,3,3,3,2,2
88,1,1,4,2,1,3,3,3,2,1,3,4
89,4,1,2,2,1,5,1,2,1,2,5,2
90,2,3,3,2,1,5,2,1,4,2,1,2
